date,open,high,low,close,volume,average,barCount,expiry,dataMonth
2023-09-08 06:30:00-07:00,87.15,87.27,87.02,87.26,3126.0,87.117,1758,202310,202309
2023-09-08 06:35:00-07:00,87.27,87.28,87.08,87.18,1742.0,87.175,980,202310,202309
2023-09-08 06:40:00-07:00,87.17,87.17,86.83,86.87,3183.0,86.978,1481,202310,202309
2023-09-08 06:45:00-07:00,86.87,87.05,86.85,87.04,1854.0,86.952,1063,202310,202309
2023-09-08 06:50:00-07:00,87.05,87.1,86.98,87.03,1797.0,87.038,936,202310,202309
2023-09-08 06:55:00-07:00,87.03,87.12,86.96,87.09,1845.0,87.037,986,202310,202309
2023-09-08 07:00:00-07:00,87.1,87.47,86.99,87.46,3680.0,87.28,1799,202310,202309
2023-09-08 07:05:00-07:00,87.46,87.6,87.37,87.39,3039.0,87.504,1498,202310,202309
2023-09-08 07:10:00-07:00,87.39,87.47,87.29,87.4,2060.0,87.378,1020,202310,202309
2023-09-08 07:15:00-07:00,87.4,87.49,87.25,87.28,1713.0,87.377,908,202310,202309
2023-09-08 07:20:00-07:00,87.29,87.35,87.22,87.29,1592.0,87.289,803,202310,202309
2023-09-08 07:25:00-07:00,87.29,87.48,87.27,87.37,1433.0,87.397,832,202310,202309
2023-09-08 07:30:00-07:00,87.37,87.45,87.26,87.44,1798.0,87.369,959,202310,202309
2023-09-08 07:35:00-07:00,87.44,87.46,87.31,87.38,926.0,87.378,559,202310,202309
2023-09-08 07:40:00-07:00,87.38,87.57,87.35,87.49,1570.0,87.498,816,202310,202309
2023-09-08 07:45:00-07:00,87.5,87.64,87.48,87.6,2361.0,87.585,1040,202310,202309
2023-09-08 07:50:00-07:00,87.6,87.81,87.58,87.74,3374.0,87.705,1446,202310,202309
2023-09-08 07:55:00-07:00,87.75,87.81,87.64,87.65,2640.0,87.75,1212,202310,202309
2023-09-08 08:00:00-07:00,87.65,87.72,87.55,87.71,2164.0,87.617,1064,202310,202309
2023-09-08 08:05:00-07:00,87.71,87.74,87.52,87.58,2182.0,87.62,1055,202310,202309
2023-09-08 08:10:00-07:00,87.59,87.73,87.59,87.68,1664.0,87.673,862,202310,202309
2023-09-08 08:15:00-07:00,87.68,87.84,87.67,87.77,2154.0,87.763,1122,202310,202309
2023-09-08 08:20:00-07:00,87.77,87.86,87.68,87.81,1913.0,87.771,908,202310,202309
2023-09-08 08:25:00-07:00,87.81,87.81,87.68,87.7,1936.0,87.737,1057,202310,202309
2023-09-08 08:30:00-07:00,87.7,87.72,87.55,87.55,1876.0,87.629,979,202310,202309
2023-09-08 08:35:00-07:00,87.56,87.67,87.55,87.63,699.0,87.621,422,202310,202309
2023-09-08 08:40:00-07:00,87.63,87.67,87.57,87.63,695.0,87.619,363,202310,202309
2023-09-08 08:45:00-07:00,87.63,87.66,87.53,87.6,1322.0,87.591,672,202310,202309
2023-09-08 08:50:00-07:00,87.61,87.69,87.54,87.56,921.0,87.618,526,202310,202309
2023-09-08 08:55:00-07:00,87.56,87.67,87.53,87.63,1882.0,87.6,1108,202310,202309
2023-09-08 09:00:00-07:00,87.63,87.67,87.48,87.55,1282.0,87.573,713,202310,202309
2023-09-08 09:05:00-07:00,87.55,87.58,87.51,87.56,726.0,87.549,343,202310,202309
2023-09-08 09:10:00-07:00,87.56,87.65,87.52,87.56,618.0,87.574,339,202310,202309
2023-09-08 09:15:00-07:00,87.57,87.92,87.57,87.88,2404.0,87.805,1179,202310,202309
2023-09-08 09:20:00-07:00,87.88,87.95,87.84,87.87,1129.0,87.907,588,202310,202309
2023-09-08 09:25:00-07:00,87.88,87.88,87.71,87.75,1195.0,87.785,653,202310,202309
2023-09-08 09:30:00-07:00,87.75,87.78,87.63,87.68,1384.0,87.7,696,202310,202309
2023-09-08 09:35:00-07:00,87.68,87.71,87.6,87.64,671.0,87.644,356,202310,202309
2023-09-08 09:40:00-07:00,87.63,87.68,87.59,87.63,696.0,87.632,391,202310,202309
2023-09-08 09:45:00-07:00,87.63,87.63,87.51,87.52,945.0,87.548,464,202310,202309
2023-09-08 09:50:00-07:00,87.53,87.6,87.52,87.58,817.0,87.555,377,202310,202309
2023-09-08 09:55:00-07:00,87.58,87.64,87.51,87.53,1046.0,87.579,616,202310,202309
2023-09-08 10:00:00-07:00,87.54,87.57,87.43,87.49,1263.0,87.505,704,202310,202309
2023-09-08 10:05:00-07:00,87.48,87.51,87.36,87.4,1520.0,87.407,810,202310,202309
2023-09-08 10:10:00-07:00,87.4,87.48,87.3,87.37,1507.0,87.397,822,202310,202309
2023-09-08 10:15:00-07:00,87.37,87.47,87.34,87.44,872.0,87.413,478,202310,202309
2023-09-08 10:20:00-07:00,87.44,87.55,87.44,87.55,716.0,87.5,414,202310,202309
2023-09-08 10:25:00-07:00,87.54,87.56,87.48,87.55,480.0,87.521,262,202310,202309
2023-09-08 10:30:00-07:00,87.56,87.59,87.42,87.44,1438.0,87.518,760,202310,202309
2023-09-08 10:35:00-07:00,87.45,87.46,87.33,87.33,1167.0,87.391,625,202310,202309
2023-09-08 10:40:00-07:00,87.33,87.39,87.27,87.35,1270.0,87.322,726,202310,202309
2023-09-08 10:45:00-07:00,87.34,87.5,87.33,87.46,1100.0,87.439,576,202310,202309
2023-09-08 10:50:00-07:00,87.47,87.62,87.46,87.62,1213.0,87.544,583,202310,202309
2023-09-08 10:55:00-07:00,87.61,87.68,87.58,87.67,1082.0,87.632,600,202310,202309
2023-09-08 11:00:00-07:00,87.66,87.73,87.63,87.68,1158.0,87.675,579,202310,202309
2023-09-08 11:05:00-07:00,87.68,87.77,87.67,87.7,954.0,87.722,464,202310,202309
2023-09-08 11:10:00-07:00,87.71,87.76,87.66,87.69,1082.0,87.703,505,202310,202309
2023-09-08 11:15:00-07:00,87.69,87.74,87.59,87.6,1295.0,87.672,684,202310,202309
2023-09-08 11:20:00-07:00,87.6,87.67,87.53,87.63,1466.0,87.592,759,202310,202309
2023-09-08 11:25:00-07:00,87.63,87.65,87.46,87.52,5978.0,87.513,2969,202310,202309
2023-09-08 11:30:00-07:00,87.51,87.56,87.49,87.51,1922.0,87.522,851,202310,202309
2023-09-08 11:35:00-07:00,87.51,87.53,87.44,87.45,1570.0,87.493,628,202310,202309
2023-09-08 11:40:00-07:00,87.45,87.51,87.44,87.5,405.0,87.472,218,202310,202309
2023-09-08 11:45:00-07:00,87.5,87.54,87.4,87.41,1328.0,87.465,527,202310,202309
2023-09-08 11:50:00-07:00,87.4,87.42,87.36,87.39,485.0,87.391,282,202310,202309
2023-09-08 11:55:00-07:00,87.39,87.42,87.36,87.36,328.0,87.391,181,202310,202309
