,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
7306,70.45480346679688,71.01210021972656,70.77117919921875,68.65042114257812,69.06153869628906,70.40211486816406,70.5656509399414,67.33890533447266,69.6435775756836,70.48924255371094,70.47625732421875,68.6720199584961,69.12886047363281,70.85839080810547,69.66429138183594,67.8028793334961,70.55888366699219,69.8458480834961,67.7944564819336,70.38433074951172,68.33211517333984,67.12194061279297,69.19254302978516,66.47394561767578,67.52482604980469,70.2782211303711,68.9655532836914,67.63385009765625,69.31941986083984,70.29193878173828,69.84979248046875,69.07295227050781,69.71111297607422,68.15866088867188,71.28531646728516,68.29737091064453
896,70.07772064208984,70.63279724121094,70.39418029785156,68.28438568115234,68.69769287109375,70.02197265625,70.19327545166016,66.98397064208984,69.26228332519531,70.11815643310547,70.09056091308594,68.29367065429688,68.76212310791016,70.47042846679688,69.28240966796875,67.43527221679688,70.18855285644531,69.47761535644531,67.43421936035156,70.0178451538086,67.96745300292969,66.7485122680664,68.82010650634766,66.12211608886719,67.16522216796875,69.89725494384766,68.59990692138672,67.26026916503906,68.9500732421875,69.92698669433594,69.45850372314453,68.69784545898438,69.34555053710938,67.7928695678711,70.90321350097656,67.93714141845703
5426,73.34166717529297,73.92232513427734,73.67008972167969,71.45906066894531,71.8807373046875,73.28299713134766,73.45867156982422,70.08036804199219,72.48567199707031,73.36935424804688,73.3572006225586,71.47349548339844,71.95769500732422,73.75369262695312,72.5105972290039,70.57337951660156,73.45038604736328,72.70814514160156,70.56441497802734,73.26627349853516,71.12000274658203,69.84651184082031,72.01734924316406,69.1875228881836,70.2798080444336,73.147216796875,71.78233337402344,70.38643646240234,72.15644073486328,73.17418670654297,72.6936264038086,71.90557098388672,72.5697250366211,70.93956756591797,74.20032501220703,71.09135437011719
5227,72.74781799316406,73.30319213867188,73.06810760498047,70.89994049072266,71.35621643066406,72.6858139038086,72.84843444824219,69.6378173828125,71.91693115234375,72.77969360351562,72.78533935546875,70.9853515625,71.38397979736328,73.15339660644531,71.95056915283203,70.06379699707031,72.84475708007812,72.11608123779297,70.08663177490234,72.67906951904297,70.56745147705078,69.35498046875,71.47110748291016,68.7226333618164,69.76753997802734,72.54563903808594,71.24923706054688,69.88382720947266,71.58119201660156,72.5704574584961,72.1211929321289,71.34600830078125,71.98445892333984,70.427978515625,73.58596801757812,70.56330871582031
5770,71.90421295166016,72.50090789794922,72.24409484863281,70.05653381347656,70.51844024658203,71.8035888671875,72.02487182617188,68.81097412109375,71.0469741821289,71.95533752441406,71.96772766113281,70.15331268310547,70.5921859741211,72.26995849609375,71.11902618408203,69.28024291992188,72.01268768310547,71.36074829101562,69.35842895507812,71.88700103759766,69.79258728027344,68.54814147949219,70.64952087402344,67.94889831542969,69.02510070800781,71.76687622070312,70.47137451171875,69.05194091796875,70.7905044555664,71.7885971069336,71.27564239501953,70.53778839111328,71.2369384765625,69.56534576416016,72.76898193359375,69.75428009033203
6301,71.03710174560547,71.61102294921875,71.3665542602539,69.20390319824219,69.63984680175781,70.95355224609375,71.15091705322266,67.91056060791016,70.20548248291016,71.06632232666016,71.07492065429688,69.25142669677734,69.7032470703125,71.40735626220703,70.22836303710938,68.39775085449219,71.13873291015625,70.46448516845703,68.42835235595703,70.97614288330078,68.92703247070312,67.66664123535156,69.76786804199219,67.04428100585938,68.12105560302734,70.87360382080078,69.57090759277344,68.18009948730469,69.90267944335938,70.9104232788086,70.41432189941406,69.66136169433594,70.32638549804688,68.71492004394531,71.88655090332031,68.8830337524414
502,71.11749267578125,71.69661712646484,71.45272827148438,69.29442596435547,69.70516204833984,71.06497192382812,71.246826171875,67.96565246582031,70.29735565185547,71.16083526611328,71.15257263183594,69.30027770996094,69.7820053100586,71.51544189453125,70.31278991699219,68.4411849975586,71.23917388916016,70.53289794921875,68.43942260742188,71.06012725830078,68.98774719238281,67.72981262207031,69.8486099243164,67.08966827392578,68.16287994384766,70.9456787109375,69.623779296875,68.24876403808594,69.96893310546875,70.98426818847656,70.50487518310547,69.72604370117188,70.38472747802734,68.79804992675781,71.95999145507812,68.94374084472656
4462,71.4747543334961,72.02568817138672,71.78577423095703,69.63544464111328,70.06120300292969,71.4105453491211,71.57951354980469,68.31974792480469,70.64140319824219,71.50297546386719,71.48233795166016,69.66282653808594,70.12521362304688,71.86649322509766,70.65742492675781,68.78450775146484,71.58314514160156,70.85758209228516,68.7885971069336,71.39611053466797,69.31607818603516,68.08244323730469,70.19011688232422,67.44987487792969,68.50093078613281,71.28492736816406,69.98005676269531,68.60921478271484,70.32415008544922,71.31073760986328,70.84101104736328,70.07404327392578,70.72332000732422,69.14422607421875,72.31189727783203,69.28753662109375
5614,74.01551055908203,74.61105346679688,74.36250305175781,72.13036346435547,72.58374786376953,73.94477844238281,74.13240814208984,70.81471252441406,73.16263580322266,74.07056427001953,74.0689697265625,72.18943786621094,72.63542175292969,74.43373107910156,73.1991958618164,71.28644561767578,74.14070129394531,73.40705108642578,71.32734680175781,73.96453094482422,71.84085083007812,70.53976440429688,72.71269226074219,69.90150451660156,70.98292541503906,73.82576751708984,72.490478515625,71.06132507324219,72.81676483154297,73.86751556396484,73.38533020019531,72.57299041748047,73.26272583007812,71.60470581054688,74.87039947509766,71.77963256835938
8358,72.05863952636719,72.62086486816406,72.37361145019531,70.20701599121094,70.62328338623047,72.0018081665039,72.16657257080078,68.86471557617188,71.22408294677734,72.08879089355469,72.07359313964844,70.21843719482422,70.70039367675781,72.46111297607422,71.239501953125,69.33747100830078,72.1733627319336,71.43182373046875,69.32134246826172,71.98345184326172,69.88020324707031,68.63031768798828,70.76225280761719,67.97538757324219,69.04569244384766,71.86611938476562,70.52571868896484,69.159912109375,70.89105224609375,71.89215087890625,71.42402648925781,70.63834381103516,71.29471588134766,69.70809173583984,72.89579772949219,69.85125732421875
