date,open,high,low,close,volume,average,barCount,expiry,dataMonth
2024-01-19 06:30:00-08:00,2.33,2.332,2.327,2.327,348.0,2.3274,130,202404,202401
2024-01-19 06:35:00-08:00,2.327,2.327,2.316,2.318,219.0,2.3214,97,202404,202401
2024-01-19 06:40:00-08:00,2.318,2.324,2.315,2.316,190.0,2.3188,102,202404,202401
2024-01-19 06:45:00-08:00,2.316,2.325,2.316,2.322,97.0,2.3223,56,202404,202401
2024-01-19 06:50:00-08:00,2.323,2.325,2.321,2.323,123.0,2.3234,68,202404,202401
2024-01-19 06:55:00-08:00,2.324,2.331,2.322,2.325,231.0,2.327,99,202404,202401
2024-01-19 07:00:00-08:00,2.325,2.326,2.32,2.321,199.0,2.3223,92,202404,202401
2024-01-19 07:05:00-08:00,2.32,2.322,2.316,2.317,107.0,2.3189,68,202404,202401
2024-01-19 07:10:00-08:00,2.317,2.324,2.315,2.319,255.0,2.3188,91,202404,202401
2024-01-19 07:15:00-08:00,2.319,2.319,2.314,2.315,432.0,2.3164,147,202404,202401
2024-01-19 07:20:00-08:00,2.314,2.316,2.308,2.31,124.0,2.3108,60,202404,202401
2024-01-19 07:25:00-08:00,2.31,2.31,2.3,2.3,137.0,2.3057,62,202404,202401
2024-01-19 07:30:00-08:00,2.3,2.301,2.288,2.289,277.0,2.2945,161,202404,202401
2024-01-19 07:35:00-08:00,2.289,2.289,2.279,2.279,660.0,2.2835,261,202404,202401
2024-01-19 07:40:00-08:00,2.28,2.284,2.277,2.278,190.0,2.2805,135,202404,202401
2024-01-19 07:45:00-08:00,2.277,2.282,2.273,2.276,217.0,2.2761,112,202404,202401
2024-01-19 07:50:00-08:00,2.275,2.275,2.269,2.271,311.0,2.2706,140,202404,202401
2024-01-19 07:55:00-08:00,2.271,2.277,2.27,2.271,296.0,2.2728,150,202404,202401
2024-01-19 08:00:00-08:00,2.27,2.274,2.267,2.273,478.0,2.27,175,202404,202401
2024-01-19 08:05:00-08:00,2.273,2.282,2.271,2.278,498.0,2.2763,256,202404,202401
2024-01-19 08:10:00-08:00,2.278,2.285,2.278,2.279,357.0,2.2811,168,202404,202401
2024-01-19 08:15:00-08:00,2.28,2.283,2.27,2.274,219.0,2.2751,131,202404,202401
2024-01-19 08:20:00-08:00,2.274,2.277,2.27,2.271,192.0,2.2721,83,202404,202401
2024-01-19 08:25:00-08:00,2.271,2.272,2.259,2.261,371.0,2.2652,167,202404,202401
2024-01-19 08:30:00-08:00,2.261,2.262,2.254,2.261,285.0,2.258,134,202404,202401
2024-01-19 08:35:00-08:00,2.259,2.264,2.257,2.258,289.0,2.2606,114,202404,202401
2024-01-19 08:40:00-08:00,2.257,2.259,2.252,2.253,401.0,2.2555,159,202404,202401
2024-01-19 08:45:00-08:00,2.252,2.26,2.251,2.258,301.0,2.255,120,202404,202401
2024-01-19 08:50:00-08:00,2.257,2.258,2.252,2.257,248.0,2.2546,101,202404,202401
